,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
1140,Asia,Bachelor's,Y,N,4769,1975,Northeast,103400.4,Year,Y,Certified
1141,Asia,Bachelor's,Y,N,80,2004,South,80454.66,Year,Y,Certified
1142,North America,Master's,Y,N,3783,2006,West,31191.28,Year,Y,Certified
1143,Africa,Bachelor's,N,N,85457,1997,South,174177.41,Year,Y,Certified
1144,Asia,Master's,N,N,3542,2001,Northeast,48.0065,Hour,Y,Denied
1145,North America,High School,N,N,3730,1997,West,36450.85,Year,Y,Denied
1146,Europe,Bachelor's,Y,N,1508,2006,South,51448.54,Year,Y,Certified
1147,North America,Bachelor's,Y,N,169,2007,Northeast,99.3492,Hour,Y,Denied
1148,Asia,Doctorate,N,N,2380,2006,Midwest,143988.01,Year,Y,Certified
1149,Asia,Bachelor's,Y,N,3085,2010,South,68707.76,Year,Y,Certified
1150,Asia,Bachelor's,Y,N,619,1985,Northeast,3103.1,Year,Y,Certified
1151,Asia,Bachelor's,Y,N,2536,2009,West,54769.76,Year,Y,Certified
1152,Europe,Master's,N,N,1547,2004,South,25029.86,Year,Y,Certified
1153,Asia,Master's,Y,N,5347,2004,South,73435.36,Year,Y,Certified
1154,Asia,Master's,Y,N,3896,1972,Northeast,105576.91,Year,Y,Certified
1155,Asia,Bachelor's,N,N,2607,2008,Midwest,82708.29,Year,Y,Certified
1156,Asia,Master's,Y,N,333,2012,South,105267.89,Year,Y,Certified
1157,Asia,Master's,Y,N,1016,2005,West,627.9543,Hour,Y,Certified
1158,South America,Master's,Y,N,815,1915,West,58311.87,Year,Y,Certified
1159,Asia,Master's,Y,N,1998,1996,South,81402.95,Year,Y,Certified
1160,Asia,Bachelor's,N,N,5190,2007,West,38556.23,Year,Y,Denied
1161,South America,Bachelor's,Y,Y,1287,1972,South,156883.85,Year,Y,Certified
1162,North America,Master's,Y,N,3515,2006,Northeast,102544.06,Year,N,Certified
1163,Asia,Bachelor's,Y,N,178,2007,West,21890.62,Year,Y,Certified
1164,Asia,Master's,Y,N,4092,1998,Midwest,150034.38,Year,Y,Certified
1165,Asia,Master's,Y,N,1427,1977,West,178.5724,Hour,Y,Certified
1166,Asia,Master's,Y,N,3414,1999,Midwest,42033.2,Year,Y,Certified
1167,South America,Master's,Y,N,1917,1912,South,75368.28,Year,Y,Certified
1168,Africa,Doctorate,N,N,4244,2006,West,76923.49,Year,Y,Denied
1169,North America,Bachelor's,Y,N,4069,1994,West,50088.69,Year,Y,Certified
1170,Europe,Doctorate,N,N,3958,1977,West,73402.28,Year,Y,Certified
1171,Asia,Bachelor's,N,Y,3013,2005,South,136743.29,Year,Y,Certified
1172,Asia,Master's,N,Y,1063,1997,Midwest,217752.38,Year,Y,Certified
1173,North America,Master's,N,N,533,1998,West,660.6679,Hour,Y,Denied
1174,Asia,Master's,N,N,1504,1985,Northeast,737.4472,Hour,Y,Denied
1175,North America,Master's,Y,N,2410,2008,Northeast,42861.65,Year,Y,Certified
1176,Asia,Master's,Y,N,3284,2008,Northeast,28952.76,Year,Y,Certified
1177,South America,Bachelor's,N,N,109,1979,West,649.6394,Hour,Y,Denied
1178,North America,Master's,Y,N,1409,2001,South,124682.1,Year,Y,Certified
1179,North America,Bachelor's,Y,N,177,1992,South,45295.57,Year,Y,Certified
1180,Africa,Master's,Y,N,3771,2003,West,123870.96,Year,Y,Certified
1181,Asia,Bachelor's,N,N,342,1843,Midwest,48931.21,Year,Y,Certified
1182,Asia,Doctorate,N,N,14560,2005,West,116153.8,Year,Y,Denied
1183,Africa,Master's,N,N,2278,1975,Midwest,127610.62,Year,Y,Certified
1184,Europe,Bachelor's,N,Y,3575,2011,South,111706.31,Year,Y,Certified
1185,Asia,Bachelor's,N,N,2944,1997,South,230984.28,Year,Y,Certified
1186,Asia,Master's,N,N,801,1945,Midwest,128078.97,Year,Y,Certified
1187,Europe,Master's,Y,N,24190,1993,South,144911.64,Year,N,Certified
1188,Asia,Bachelor's,N,N,2821,1975,Northeast,85693.22,Year,Y,Denied
1189,Asia,Master's,N,N,1723,1960,Midwest,39501.79,Year,N,Certified
1190,Europe,Master's,Y,N,5436,2014,Northeast,70186.66,Year,Y,Certified
1191,Asia,High School,Y,N,829,1984,Northeast,58960.93,Year,Y,Denied
1192,Asia,Bachelor's,Y,N,27,2007,West,98190.11,Year,Y,Certified
1193,Asia,Bachelor's,Y,N,999,1998,Northeast,153304.15,Year,Y,Certified
1194,Asia,Master's,Y,N,760,1989,Midwest,223128.23,Year,Y,Certified
1195,Asia,Master's,Y,N,2142,2007,Northeast,147492.23,Year,N,Certified
1196,Asia,Bachelor's,Y,N,1684,1912,Northeast,40743.49,Year,N,Certified
1197,Asia,Bachelor's,Y,N,633,1980,South,81047.49,Year,Y,Certified
1198,North America,Bachelor's,N,N,1372,1995,West,504.3171,Hour,Y,Denied
1199,Asia,Bachelor's,Y,N,3408,1930,Midwest,67744.54,Year,N,Certified
1200,North America,Bachelor's,Y,N,3374,2012,Midwest,124864.48,Year,Y,Certified
1201,Asia,Master's,N,N,1472,2005,Midwest,197974.59,Year,Y,Certified
1202,Asia,Master's,N,Y,2126,1922,South,81534.43,Year,Y,Certified
1203,Asia,Bachelor's,Y,N,34554,2013,Midwest,246705.0,Year,N,Certified
1204,North America,Master's,N,N,968,2013,Midwest,91757.51,Year,Y,Certified
1205,Asia,Doctorate,N,N,2151,2012,Midwest,67828.03,Year,Y,Certified
1206,North America,Bachelor's,Y,N,4057,1925,Midwest,2984.24,Year,Y,Certified
1207,Asia,Master's,Y,N,3908,1968,South,74537.88,Year,Y,Certified
1208,North America,Master's,N,N,1479,2007,Midwest,108823.15,Year,Y,Certified
1209,South America,Bachelor's,N,N,3751,2002,South,102101.31,Year,Y,Certified
1210,Asia,Master's,N,N,1014,1998,Midwest,115914.25,Year,Y,Certified
1211,North America,High School,Y,N,2620,1998,Northeast,130192.56,Year,Y,Certified
1212,Asia,High School,N,N,31859,1964,South,932.9804,Hour,Y,Certified
1213,Asia,Master's,Y,N,1917,2014,South,57844.47,Year,N,Certified
1214,Asia,Bachelor's,N,N,2821,1876,Northeast,31166.4,Year,N,Denied
1215,Asia,Bachelor's,N,N,1814,2002,Northeast,10.5551,Hour,Y,Denied
1216,Asia,Bachelor's,N,N,2865,1997,Northeast,355.613,Hour,N,Denied
1217,Asia,Doctorate,N,N,918,2000,Northeast,4928.68,Year,Y,Denied
1218,North America,Master's,N,N,3106,1975,West,87773.64,Year,N,Denied
1219,Asia,Bachelor's,Y,N,2365,2004,South,82414.98,Year,Y,Certified
1220,Europe,Master's,N,Y,1858,1989,Northeast,53366.36,Year,Y,Certified
1221,Europe,Master's,N,Y,3050,1879,West,86703.0,Year,Y,Certified
1222,Asia,Bachelor's,Y,N,5877,2013,West,150646.84,Year,Y,Certified
1223,North America,Bachelor's,Y,N,1599,1982,South,37720.38,Year,Y,Certified
1224,Asia,Master's,Y,N,2388,1996,Northeast,28481.28,Year,Y,Certified
1225,Europe,Doctorate,Y,N,2405,1986,South,429.95,Year,Y,Certified
1226,Asia,Bachelor's,Y,Y,956,2007,Northeast,61071.62,Year,Y,Certified
1227,North America,Master's,Y,N,610,2013,Northeast,74343.7,Year,Y,Certified
1228,North America,High School,Y,N,1039,2011,Midwest,25815.98,Year,Y,Certified
1229,Asia,Master's,Y,N,2200,2006,South,156520.94,Year,Y,Certified
1230,Europe,Bachelor's,Y,Y,2499,1997,Northeast,54275.55,Year,Y,Certified
1231,Europe,Master's,N,Y,1029,1988,Northeast,101522.15,Year,Y,Certified
1232,Europe,Doctorate,Y,N,739,1998,Midwest,23576.94,Year,Y,Certified
1233,North America,Bachelor's,Y,N,2347,1999,West,594.7953,Hour,Y,Denied
1234,Asia,High School,N,N,2133,1999,South,784.2604,Hour,Y,Certified
1235,Asia,Master's,Y,N,1857,1971,Northeast,71264.26,Year,Y,Certified
1236,Africa,Master's,Y,N,314,1997,Northeast,72130.76,Year,Y,Certified
1237,Asia,Bachelor's,Y,N,51,2002,West,153154.02,Year,Y,Certified
1238,South America,Doctorate,N,N,1998,1992,West,16.4637,Hour,Y,Denied
1239,Asia,High School,N,N,4671,1991,Midwest,41191.38,Year,Y,Certified
1240,Asia,Bachelor's,Y,Y,3181,2003,South,205.2435,Hour,Y,Certified
1241,North America,Bachelor's,N,Y,2388,1997,West,33311.22,Year,Y,Denied
1242,Asia,Bachelor's,Y,N,18049,1996,West,518.0265,Hour,Y,Certified
1243,Asia,Bachelor's,N,N,3196,1998,Northeast,35635.06,Year,Y,Denied
1244,Asia,Bachelor's,Y,Y,3984,2005,South,212459.9,Year,Y,Certified
1245,Asia,Bachelor's,Y,N,773,1996,South,80949.53,Year,Y,Certified
1246,Asia,Master's,N,N,3631,1995,Midwest,114876.07,Year,Y,Certified
1247,North America,Master's,Y,N,548,2005,Northeast,130181.59,Year,Y,Certified
1248,Asia,Master's,Y,Y,614,1991,West,1893.75,Year,Y,Certified
1249,Europe,Master's,N,N,1498,2001,Northeast,47444.98,Year,Y,Certified
1250,Asia,Bachelor's,Y,N,3101,1992,West,101535.52,Year,Y,Certified
1251,Asia,High School,N,N,1888,1998,South,28401.6,Year,Y,Certified
1252,Asia,High School,Y,N,18041,1973,Midwest,127965.87,Year,Y,Certified
1253,Asia,Bachelor's,Y,N,2665,1980,West,31701.58,Year,Y,Certified
1254,Asia,High School,Y,N,364,1993,Northeast,55294.64,Year,Y,Denied
1255,North America,Master's,Y,N,1904,1911,South,5805.5,Year,Y,Certified
1256,Europe,Bachelor's,N,N,1535,1947,South,92395.39,Year,Y,Certified
1257,Asia,Master's,Y,N,711,1998,Midwest,107059.97,Year,Y,Certified
1258,North America,Bachelor's,N,N,1447,1984,Northeast,26679.76,Year,Y,Denied
1259,Asia,Bachelor's,Y,N,337,1990,South,240266.34,Year,Y,Certified
1260,Asia,Master's,Y,N,2895,1949,South,109.32,Hour,Y,Certified
1261,Asia,Master's,N,Y,3405,2014,South,53826.46,Year,Y,Certified
1262,South America,Master's,N,N,1492,2004,West,88794.71,Year,Y,Denied
1263,Europe,Master's,N,N,24304,1838,Northeast,278.5388,Hour,Y,Certified
1264,Africa,Master's,Y,N,1914,1999,South,70490.25,Year,Y,Certified
1265,Asia,Doctorate,Y,N,3880,2001,South,103294.94,Year,Y,Certified
1266,Europe,Master's,Y,N,4644,1969,Northeast,42350.98,Year,Y,Certified
1267,Asia,Master's,Y,N,4418,2008,Northeast,114574.48,Year,Y,Certified
1268,Asia,Bachelor's,N,N,520,2004,Northeast,55247.55,Year,Y,Denied
1269,Asia,Master's,N,N,12180,2011,Northeast,61622.91,Year,N,Denied
1270,Asia,Bachelor's,Y,N,946,2008,Northeast,24127.86,Year,Y,Certified
1271,Asia,Bachelor's,Y,N,7106,1989,West,180284.35,Year,Y,Certified
1272,Asia,Master's,Y,N,772,2003,Midwest,53013.1,Year,N,Certified
1273,Europe,Doctorate,Y,N,288,1972,West,33990.05,Year,Y,Certified
1274,Asia,Master's,Y,N,2632,2006,Midwest,68463.9,Year,N,Certified
1275,Asia,Master's,N,N,92,2005,Midwest,166677.8,Year,Y,Certified
1276,North America,Bachelor's,Y,N,2596,2001,South,73989.7,Year,N,Certified
1277,Europe,Doctorate,N,N,3781,1886,West,4658.55,Year,Y,Certified
1278,Asia,Bachelor's,N,N,884,1990,Midwest,116630.43,Year,Y,Certified
1279,Asia,Bachelor's,N,Y,2014,1800,South,68613.7,Year,Y,Certified
1280,Asia,Bachelor's,Y,N,3618,1979,West,64782.78,Year,Y,Certified
1281,Asia,Bachelor's,Y,N,1688,2003,West,191710.8,Year,Y,Certified
1282,North America,Bachelor's,N,N,5241,2003,Northeast,33440.82,Year,Y,Denied
1283,Europe,Doctorate,N,N,127586,1899,South,28790.45,Year,Y,Certified
1284,Asia,Master's,N,N,283641,1996,Midwest,80991.08,Year,Y,Certified
1285,Asia,Master's,N,N,2017,1996,South,92497.06,Year,Y,Certified
1286,Asia,Master's,N,N,2087,1977,West,84860.33,Year,Y,Denied
1287,Asia,Master's,Y,N,4935,2010,Northeast,153215.2,Year,N,Certified
1288,Asia,Bachelor's,Y,N,1221,1986,West,83733.61,Year,Y,Certified
1289,Europe,Doctorate,Y,N,5409,2000,West,79088.48,Year,Y,Certified
1290,Asia,Bachelor's,N,Y,2355,1978,South,132718.69,Year,Y,Certified
1291,Europe,Bachelor's,Y,N,873,1976,West,116441.42,Year,Y,Certified
1292,Europe,Master's,Y,N,508,2001,West,33206.02,Year,Y,Certified
1293,North America,High School,Y,N,1770,2006,Northeast,539.4964,Hour,Y,Certified
1294,Asia,Master's,Y,N,134518,1967,West,91344.69,Year,Y,Certified
1295,Asia,Bachelor's,N,N,2450,1999,West,92174.08,Year,Y,Denied
1296,Asia,Bachelor's,Y,N,3820,1991,West,30089.1,Year,Y,Certified
1297,Asia,Master's,Y,N,62949,1981,South,26041.42,Year,Y,Certified
1298,Asia,Master's,N,N,21155,1997,Northeast,138.76,Hour,Y,Denied
1299,North America,Master's,Y,N,262,1969,South,124525.38,Year,N,Certified
1300,Asia,Master's,N,N,711,1991,South,81410.3,Year,Y,Certified
1301,North America,High School,N,N,4332,1999,Midwest,560.2798,Hour,Y,Certified
1302,Asia,Master's,N,Y,1953,1950,West,45176.53,Year,Y,Denied
1303,Asia,High School,Y,N,6331,1968,West,46573.76,Year,Y,Denied
1304,Asia,Master's,Y,N,854,2003,Midwest,97247.22,Year,Y,Certified
1305,North America,Doctorate,Y,N,6397,1976,Northeast,57334.17,Year,Y,Certified
1306,Asia,High School,Y,Y,923,1994,South,27050.91,Year,Y,Certified
1307,North America,Master's,Y,N,1139,1998,Northeast,92869.47,Year,N,Certified
1308,Asia,Bachelor's,Y,N,2041,2004,Midwest,226090.72,Year,Y,Certified
1309,Asia,Bachelor's,N,N,1802,1979,West,61524.12,Year,Y,Denied
1310,Asia,Doctorate,N,N,3072,2006,Northeast,60225.0,Year,Y,Denied
1311,Asia,Master's,N,N,21299,2006,West,34696.51,Year,Y,Denied
1312,Asia,Bachelor's,N,N,2941,2008,South,135445.72,Year,Y,Certified
1313,Asia,Bachelor's,N,N,3081,1999,West,123023.1,Year,Y,Denied
1314,Asia,Bachelor's,N,N,2996,1998,West,71114.45,Year,Y,Denied
1315,Asia,High School,Y,N,1359,2001,Northeast,87474.28,Year,Y,Denied
1316,Asia,Master's,N,N,2617,1999,Midwest,80567.16,Year,Y,Certified
1317,Asia,Bachelor's,Y,N,3353,1995,Northeast,116498.7,Year,Y,Certified
1318,Europe,Master's,Y,N,1376,1998,Northeast,100745.59,Year,Y,Certified
1319,Asia,Bachelor's,N,N,2144,1850,Midwest,189888.19,Year,Y,Certified
1320,Asia,Bachelor's,Y,N,3175,2005,South,104952.54,Year,Y,Certified
1321,Asia,Doctorate,Y,N,118278,2005,West,38848.01,Year,Y,Certified
1322,Africa,Bachelor's,N,N,29,1966,Northeast,826.7279,Hour,Y,Denied
1323,Asia,Bachelor's,Y,N,2259,2004,South,64825.9,Year,Y,Certified
1324,Africa,Master's,Y,N,104,1900,West,30112.22,Year,Y,Certified
1325,Asia,Doctorate,Y,N,275,2007,West,92456.73,Year,Y,Certified
1326,Asia,Master's,N,N,2198,2004,Northeast,89.5992,Hour,Y,Denied
1327,Asia,Bachelor's,Y,N,1559,1963,West,137088.38,Year,Y,Certified
1328,North America,Bachelor's,Y,N,3314,1998,West,29201.79,Year,Y,Denied
1329,Asia,Bachelor's,N,N,67,1986,West,73508.06,Year,Y,Denied
1330,Asia,High School,N,N,2446,2009,Northeast,136201.77,Year,Y,Denied
1331,Asia,High School,N,Y,2750,2010,Northeast,111599.43,Year,Y,Denied
1332,Europe,Master's,N,N,4198,2006,West,54240.94,Year,Y,Certified
1333,Asia,Bachelor's,Y,N,3754,1963,South,17.519,Hour,Y,Certified
1334,Europe,High School,Y,N,1274,2007,West,19170.82,Year,Y,Denied
1335,North America,Master's,Y,N,2974,2012,South,64889.36,Year,N,Certified
1336,Asia,Bachelor's,Y,N,67,2007,Midwest,188640.49,Year,N,Certified
1337,Asia,Master's,N,N,4212,1947,West,69583.28,Year,Y,Denied
1338,Asia,Master's,Y,N,1571,1837,Midwest,120382.79,Year,Y,Certified
1339,Asia,Master's,Y,N,5553,1976,Northeast,144881.62,Year,Y,Certified
1340,Asia,Master's,Y,N,2205,1928,South,91520.69,Year,Y,Certified
1341,North America,Bachelor's,N,N,2016,1991,Northeast,92662.95,Year,Y,Denied
1342,Asia,Bachelor's,N,Y,1764,1999,South,53490.26,Year,Y,Certified
1343,Asia,Master's,Y,N,1974,2004,Midwest,231949.27,Year,Y,Certified
1344,Asia,Master's,N,N,4514,1998,Northeast,120647.03,Year,N,Denied
1345,Asia,Bachelor's,N,N,594472,1887,West,87144.2,Year,Y,Denied
1346,Asia,Master's,N,N,56,2001,West,51.6812,Hour,Y,Denied
1347,Asia,Bachelor's,Y,N,4853,2001,Northeast,32384.45,Year,Y,Certified
1348,Asia,High School,Y,N,1802,1884,Midwest,124746.01,Year,Y,Certified
1349,Asia,Master's,Y,N,1297,2007,Northeast,82828.95,Year,Y,Certified
1350,Asia,Master's,Y,N,330,2000,Northeast,34791.42,Year,Y,Certified
1351,South America,Master's,Y,N,1060,1994,Midwest,61134.94,Year,Y,Certified
1352,Africa,Master's,Y,N,3806,2000,Midwest,90513.54,Year,Y,Certified
1353,North America,Master's,Y,N,986,1986,Northeast,135100.17,Year,Y,Certified
1354,Asia,Bachelor's,Y,N,1911,2002,Midwest,139279.24,Year,Y,Certified
1355,Asia,Bachelor's,Y,N,452,1987,Northeast,68427.15,Year,Y,Certified
1356,Asia,Bachelor's,Y,N,141,1995,West,37256.84,Year,Y,Certified
1357,Asia,Master's,Y,N,787,2016,South,53992.87,Year,Y,Certified
1358,Europe,Doctorate,Y,N,73,1999,South,110169.61,Year,Y,Certified
1359,South America,Doctorate,Y,Y,320,2000,South,254604.08,Year,Y,Certified
1360,Asia,Bachelor's,Y,N,4934,1929,Midwest,38880.87,Year,Y,Certified
1361,Asia,Bachelor's,N,N,757,1948,West,172647.18,Year,Y,Denied
1362,North America,Bachelor's,Y,N,4931,1963,Midwest,22497.09,Year,Y,Certified
1363,Asia,Bachelor's,N,N,2138,1969,South,139057.45,Year,Y,Certified
1364,North America,Bachelor's,Y,N,2026,1977,West,483.9891,Hour,Y,Denied
1365,North America,Master's,Y,N,4655,2003,West,29808.92,Year,Y,Certified
1366,Asia,Bachelor's,Y,N,4047,1994,Midwest,82368.5,Year,Y,Certified
1367,South America,High School,Y,N,1031,2007,Northeast,72230.21,Year,Y,Certified
1368,Asia,Bachelor's,Y,N,868,1996,Northeast,32003.95,Year,N,Certified
1369,Asia,Bachelor's,Y,N,1117,2006,Midwest,54076.89,Year,Y,Certified
1370,Asia,Master's,N,N,685,2015,Midwest,139007.44,Year,Y,Certified
1371,North America,Master's,Y,N,2499,1838,West,53900.61,Year,Y,Certified
1372,Asia,Master's,N,N,347,1965,West,34468.68,Year,Y,Denied
1373,Asia,Master's,Y,N,4899,2006,West,59845.4,Year,Y,Certified
1374,North America,Master's,Y,N,2813,2007,South,32867.29,Year,Y,Certified
1375,Europe,High School,N,N,2161,1979,Midwest,20221.87,Year,Y,Certified
1376,Asia,Master's,Y,N,1250,1979,West,76317.95,Year,Y,Certified
1377,North America,Master's,Y,N,1840,2000,South,75458.8,Year,N,Certified
1378,Asia,Bachelor's,Y,N,127571,1911,West,103123.11,Year,Y,Certified
1379,Asia,Bachelor's,N,N,644,1947,Northeast,36997.16,Year,Y,Denied
1380,Asia,Bachelor's,Y,N,1177,2003,West,22085.02,Year,Y,Certified
1381,South America,High School,Y,N,1166,2005,Midwest,107157.7,Year,Y,Certified
1382,Europe,Bachelor's,Y,Y,2100,2007,Midwest,147882.46,Year,Y,Certified
1383,Asia,Master's,Y,N,4952,1992,South,148406.27,Year,N,Certified
1384,Asia,Bachelor's,Y,N,3172,1909,West,46353.61,Year,Y,Certified
1385,Asia,Bachelor's,N,N,1159,2006,West,68281.73,Year,Y,Denied
1386,Asia,Bachelor's,N,N,3805,1985,West,2586.05,Year,N,Denied
1387,North America,Bachelor's,Y,N,4491,2006,South,68129.09,Year,Y,Certified
1388,North America,Master's,Y,N,4438,2010,West,1526.57,Year,Y,Certified
1389,Asia,Bachelor's,N,N,2856,2002,South,22196.86,Year,Y,Certified
1390,Europe,Bachelor's,N,Y,4013,2004,West,64023.9,Year,Y,Certified
1391,Asia,Master's,N,N,997,2011,Northeast,7239.08,Year,Y,Denied
1392,Asia,High School,N,N,491,1861,Northeast,156458.9,Year,Y,Denied
1393,North America,Master's,N,N,1922,1992,Northeast,746.2808,Hour,Y,Denied
1394,Asia,Master's,Y,N,3936,1994,South,73354.98,Year,Y,Certified
1395,North America,Master's,Y,N,1849,2014,Midwest,105990.98,Year,Y,Certified
1396,Asia,Bachelor's,Y,N,14728,1911,West,261.9979,Hour,Y,Certified
1397,Asia,Doctorate,Y,N,7135,1947,West,60587.33,Year,Y,Certified
1398,Asia,Master's,Y,N,1301,2000,West,99232.43,Year,Y,Certified
1399,North America,Master's,Y,N,836,2013,South,46453.73,Year,Y,Certified
1400,Asia,Doctorate,Y,N,2366,1998,West,98876.38,Year,Y,Certified
1401,North America,Bachelor's,Y,N,623,2007,South,105072.4,Year,Y,Certified
1402,Asia,Master's,Y,N,1419,1984,Northeast,46333.51,Year,Y,Certified
1403,Asia,Master's,N,Y,9488,1979,West,82473.03,Year,Y,Denied
1404,North America,Master's,N,N,818,1984,West,79494.65,Year,Y,Denied
1405,Asia,Master's,N,N,43838,1920,South,200150.04,Year,Y,Certified
1406,Asia,Master's,Y,N,1772,1993,Northeast,53783.93,Year,Y,Certified
1407,Europe,Master's,Y,N,5495,2013,Northeast,5324.66,Year,Y,Certified
1408,Asia,High School,N,N,1870,1950,South,95887.82,Year,Y,Certified
1409,Europe,Bachelor's,N,N,288512,2005,South,21.1327,Hour,Y,Certified
1410,Europe,Bachelor's,N,N,2704,1986,West,20330.52,Year,Y,Certified
1411,Asia,Master's,Y,N,2374,2008,Northeast,41225.41,Year,Y,Certified
1412,Asia,Master's,Y,N,3920,2007,Northeast,174702.9,Year,Y,Certified
1413,Asia,Master's,Y,N,2279,1989,Midwest,17993.38,Year,Y,Certified
1414,Asia,Bachelor's,Y,Y,1948,2007,Northeast,146066.41,Year,Y,Certified
1415,Asia,Bachelor's,N,N,942,1839,West,622.9059,Hour,Y,Denied
1416,Asia,Bachelor's,Y,N,1022,2001,South,49111.28,Year,Y,Certified
1417,Asia,Bachelor's,Y,N,325,2013,South,66846.84,Year,Y,Certified
1418,South America,Bachelor's,Y,N,2431,1876,South,18876.35,Year,Y,Certified
1419,Africa,Bachelor's,Y,N,502,2004,Northeast,56203.25,Year,Y,Certified
1420,North America,Master's,N,N,3640,1989,West,137362.77,Year,Y,Denied
1421,Asia,Doctorate,N,N,4434,2005,Midwest,164308.38,Year,Y,Certified
1422,North America,High School,N,N,1667,2005,Northeast,86751.87,Year,Y,Denied
1423,Asia,Bachelor's,Y,N,562,1998,South,79221.02,Year,Y,Certified
1424,Asia,Bachelor's,N,N,3588,2001,West,86580.4,Year,Y,Denied
1425,Europe,Bachelor's,N,N,2468,1995,Northeast,81043.72,Year,Y,Denied
1426,North America,High School,N,N,266,1923,South,655.9658,Hour,Y,Certified
1427,Europe,Doctorate,Y,Y,4090,1997,West,10332.47,Year,Y,Certified
1428,Asia,Bachelor's,N,N,166,2011,Northeast,95080.03,Year,Y,Denied
1429,Asia,Bachelor's,Y,N,2326,2004,Northeast,47422.78,Year,Y,Certified
1430,Asia,High School,N,N,144584,1991,South,87926.31,Year,Y,Certified
1431,Europe,Master's,Y,N,293,1986,South,53804.49,Year,Y,Certified
1432,Asia,High School,Y,N,3729,1998,South,99865.67,Year,Y,Certified
1433,Europe,Bachelor's,Y,N,1342,2013,South,56975.77,Year,Y,Certified
1434,Asia,High School,Y,Y,330,1886,South,119692.85,Year,Y,Certified
1435,Europe,Bachelor's,Y,Y,2566,2008,West,31579.14,Year,Y,Certified
1436,Asia,Bachelor's,N,N,1724,1932,West,109641.36,Year,Y,Denied
1437,Asia,Bachelor's,N,N,3120,2001,South,61440.83,Year,Y,Certified
1438,South America,Master's,Y,N,254,1981,Island,83202.72,Year,Y,Certified
1439,Asia,High School,Y,N,4952,1997,Northeast,115350.15,Year,Y,Denied
1440,North America,Master's,N,N,13112,1855,Midwest,150029.13,Year,N,Certified
1441,Asia,Master's,Y,N,6245,2002,Northeast,30991.38,Year,Y,Certified
1442,Europe,Master's,Y,Y,1320,2001,West,98991.55,Year,Y,Certified
1443,Asia,Master's,N,N,3159,2001,Northeast,104.49,Hour,Y,Denied
1444,Asia,Master's,N,Y,950,1986,South,196098.39,Year,Y,Certified
1445,Europe,High School,Y,N,3849,1998,Island,35436.6,Year,Y,Denied
1446,Asia,Master's,Y,Y,697,1936,West,136661.87,Year,Y,Certified
1447,Asia,Bachelor's,Y,Y,138,1817,Midwest,184236.83,Year,Y,Certified
1448,Asia,Bachelor's,N,N,456,1931,Northeast,88523.93,Year,Y,Denied
1449,Asia,Bachelor's,N,N,568,2005,Northeast,37301.16,Year,Y,Denied
1450,Europe,Master's,Y,Y,907,1992,West,14630.3,Year,Y,Certified
1451,Asia,High School,Y,N,814,1852,West,782.5254,Hour,Y,Denied
1452,South America,Bachelor's,N,N,619,1980,Midwest,47472.43,Year,Y,Certified
1453,Asia,High School,Y,N,689,2003,Northeast,28063.3,Year,Y,Denied
1454,North America,High School,N,N,451,1875,Northeast,13272.64,Year,Y,Denied
1455,Africa,High School,Y,N,622,1999,South,32900.4,Year,Y,Certified
1456,Asia,Master's,Y,N,139,2010,West,95227.87,Year,Y,Certified
1457,Asia,Master's,N,N,5807,1991,South,149262.86,Year,N,Certified
1458,Europe,High School,Y,N,5064,1936,South,31990.75,Year,Y,Certified
1459,Asia,Master's,Y,N,3155,1885,Midwest,70312.5,Year,Y,Certified
1460,Asia,High School,Y,N,3388,1998,South,97701.01,Year,Y,Certified
1461,Europe,Master's,Y,N,3263,1975,Northeast,35823.47,Year,Y,Certified
1462,Europe,Master's,N,N,3953,2013,South,51343.39,Year,Y,Certified
1463,Africa,Master's,N,N,3883,1987,West,56133.23,Year,Y,Denied
1464,Asia,Bachelor's,Y,N,4391,2003,Northeast,101424.46,Year,Y,Certified
1465,Asia,Master's,Y,N,5982,2007,Midwest,97822.34,Year,Y,Certified
1466,South America,Master's,Y,N,6019,2000,Northeast,29272.61,Year,Y,Certified
1467,Asia,Bachelor's,N,N,1812,1965,West,13480.75,Year,Y,Denied
1468,Asia,Master's,Y,N,1089,1973,South,115752.57,Year,N,Certified
1469,Asia,Bachelor's,Y,N,2979,2004,South,96715.66,Year,Y,Certified
1470,Asia,High School,Y,N,1732,1977,South,185938.25,Week,Y,Certified
1471,Asia,Bachelor's,N,N,2081,2002,South,39306.03,Year,Y,Certified
1472,Europe,Doctorate,Y,N,1561,1800,South,43420.11,Year,Y,Certified
1473,Europe,High School,Y,N,2198,1934,West,74094.48,Year,Y,Denied
1474,Asia,Master's,Y,N,706,1994,Midwest,58285.07,Year,Y,Certified
1475,Asia,Bachelor's,N,Y,527,1843,South,63376.55,Year,Y,Certified
1476,Asia,Bachelor's,Y,N,609,2000,West,64920.22,Year,Y,Certified
1477,Asia,Bachelor's,Y,Y,1251,1977,Northeast,148824.05,Year,Y,Certified
1478,Asia,Master's,Y,N,3843,2008,West,122465.21,Year,Y,Certified
1479,Asia,Bachelor's,Y,N,2608,1999,South,9371.99,Year,Y,Certified
1480,Europe,Bachelor's,Y,N,746,1876,West,43053.98,Year,Y,Certified
